Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
                0.00    0.00  464094/157729624     b2SeparationFunction::Initialize(b2SimplexCache const*, b2DistanceProxy const*, b2Sweep const&, b2DistanceProxy const*, b2Sweep const&, float) [56]
                0.00    0.00  590088/157729624     b2RevoluteJoint::InitVelocityConstraints(b2SolverData const&) [66]
                0.00    0.00  593766/157729624     b2RevoluteJoint::SolvePositionConstraints(b2SolverData const&) [65]
                0.00    0.00  759651/157729624     b2CollideEdgeAndCircle(b2Manifold*, b2EdgeShape const*, b2Transform const&, b2CircleShape const*, b2Transform const&) [87]
                0.00    0.00 1565134/157729624     b2Simplex::GetClosestPoint() const [96]
                0.00    0.00 1864340/157729624     b2Simplex::GetWitnessPoints(b2Vec2*, b2Vec2*) const [112]
                0.00    0.00 2399016/157729624     b2DistanceJoint::SolveVelocityConstraints(b2SolverData const&) [42]
                0.01    0.00 3200000/157729624     b2PulleyJoint::SolveVelocityConstraints(b2SolverData const&) [37]
                0.01    0.01 4192569/157729624     b2WorldManifold::Initialize(b2Manifold const*, b2Transform const&, float, b2Transform const&, float) [29]
                0.01    0.01 4246761/157729624     b2ContactSolver::SolvePositionConstraints() [26]
                0.01    0.01 4720704/157729624     b2RevoluteJoint::SolveVelocityConstraints(b2SolverData const&) [28]
                0.01    0.01 5579268/157729624     b2ContactSolver::WarmStart() [57]
                0.01    0.01 5612252/157729624     b2Sweep::GetTransform(b2Transform*, float) const [40]
                0.02    0.01 9442435/157729624     b2Island::Solve(b2Profile*, b2TimeStep const&, b2Vec2 const&, bool) [11]
                0.08    0.06 42900000/157729624     debug_draw_t::DrawSolidCircle(b2Vec2 const&, float, b2Vec2 const&, b2Color const&) [5]
                0.13    0.09 66931484/157729624     b2ContactSolver::SolveVelocityConstraints() [1]
[7]      5.3    0.31    0.22 157729624         operator*(float, b2Vec2 const&) [7]
                0.22    0.00 157729624/585755660     b2Vec2::b2Vec2(float, float) [2]
-----------------------------------------------
                                                 <spontaneous>
[8]      4.2    0.36    0.06                 b2Mul(b2Transform const&, b2Vec2 const&) [8]
                0.06    0.00 40647622/585755660     b2Vec2::b2Vec2(float, float) [2]
-----------------------------------------------
                0.00    0.00       1/89684141     b2EdgeShape::ComputeAABB(b2AABB*, b2Transform const&, int) const [203]
                0.00    0.00       6/89684141     ComputeCentroid(b2Vec2 const*, int) [191]
                0.00    0.00      42/89684141     b2DynamicTree::CreateProxy(b2AABB const&, void*) [187]
                0.00    0.00     145/89684141     b2PolygonShape::ComputeMass(b2MassData*, float) const [182]
                0.00    0.00   93861/89684141     b2ClipSegmentToLine(b2ClipVertex*, b2ClipVertex const*, b2Vec2 const&, float, int) [109]
                0.00    0.00   99959/89684141     b2DistanceJoint::InitVelocityConstraints(b2SolverData const&) [144]
                0.00    0.00  101075/89684141     b2DistanceJoint::SolvePositionConstraints(b2SolverData const&) [104]
                0.00    0.00  173774/89684141     b2DynamicTree::MoveProxy(int, b2AABB const&, b2Vec2 const&) [59]
                0.00    0.00  200000/89684141     b2PulleyJoint::InitVelocityConstraints(b2SolverData const&) [141]
                0.00    0.00  203286/89684141     b2PulleyJoint::SolvePositionConstraints(b2SolverData const&) [64]
                0.00    0.00  253217/89684141     b2CollideEdgeAndCircle(b2Manifold*, b2EdgeShape const*, b2Transform const&, b2CircleShape const*, b2Transform const&) [87]
                0.00    0.00  282622/89684141     b2CollidePolygons(b2Manifold*, b2PolygonShape const*, b2Transform const&, b2PolygonShape const*, b2Transform const&) [82]
                0.00    0.00  296883/89684141     b2RevoluteJoint::SolvePositionConstraints(b2SolverData const&) [65]
                0.00    0.00  324379/89684141     b2PositionSolverManifold::Initialize(b2ContactPositionConstraint*, b2Transform const&, b2Transform const&, int) [52]
                0.00    0.00  356102/89684141     b2CollidePolygonAndCircle(b2Manifold*, b2PolygonShape const*, b2Transform const&, b2CircleShape const*, b2Transform const&) [39]
                0.00    0.00  464094/89684141     b2SeparationFunction::Initialize(b2SimplexCache const*, b2DistanceProxy const*, b2Sweep const&, b2DistanceProxy const*, b2Sweep const&, float) [56]
                0.00    0.00  782567/89684141     b2Simplex::GetClosestPoint() const [96]
                0.00    0.00  932190/89684141     b2Simplex::GetWitnessPoints(b2Vec2*, b2Vec2*) const [112]
                0.00    0.00 1394817/89684141     b2ContactSolver::WarmStart() [57]
                0.00    0.00 1397523/89684141     b2ContactSolver::InitializeVelocityConstraints() [14]
                0.00    0.00 1599344/89684141     b2DistanceJoint::SolveVelocityConstraints(b2SolverData const&) [42]
                0.00    0.00 1600000/89684141     b2PulleyJoint::SolveVelocityConstraints(b2SolverData const&) [37]
                0.00    0.00 1658627/89684141     b2Island::Solve(b2Profile*, b2TimeStep const&, b2Vec2 const&, bool) [11]
                0.01    0.00 1805741/89684141     b2CircleShape::ComputeAABB(b2AABB*, b2Transform const&, int) const [110]
                0.01    0.00 2318884/89684141     b2PolygonShape::ComputeAABB(b2AABB*, b2Transform const&, int) const [33]
                0.01    0.00 2360352/89684141     b2RevoluteJoint::SolveVelocityConstraints(b2SolverData const&) [28]
                0.01    0.00 2795046/89684141     b2WorldManifold::Initialize(b2Manifold const*, b2Transform const&, float, b2Transform const&, float) [29]
                0.01    0.00 2806126/89684141     b2Sweep::GetTransform(b2Transform*, float) const [40]
                0.07    0.03 22483478/89684141     b2ContactSolver::SolveVelocityConstraints() [1]
                0.13    0.06 42900000/89684141     debug_draw_t::DrawSolidCircle(b2Vec2 const&, float, b2Vec2 const&, b2Color const&) [5]
[9]      3.9    0.27    0.12 89684141         operator+(b2Vec2 const&, b2Vec2 const&) [9]
                0.12    0.00 89684141/585755660     b2Vec2::b2Vec2(float, float) [2]
-----------------------------------------------
                                                 <spontaneous>
[10]     3.6    0.36    0.00                 b2Cross(b2Vec2 const&, b2Vec2 const&) [10]
-----------------------------------------------
                                                 <spontaneous>
[11]     3.3    0.24    0.09                 b2Island::Solve(b2Profile*, b2TimeStep const&, b2Vec2 const&, bool) [11]
                0.05    0.00 1893721/2388409     b2Vec2::operator*=(float) [44]
                0.02    0.01 9442435/157729624     operator*(float, b2Vec2 const&) [7]
                0.00    0.00 1658627/89684141     operator+(b2Vec2 const&, b2Vec2 const&) [9]
                0.00    0.00  248465/42687445     float b2Min<float>(float, float) [22]
-----------------------------------------------
                                                 <spontaneous>
[12]     3.3    0.25    0.08                 b2Cross(float, b2Vec2 const&) [12]
                0.08    0.00 56202567/585755660     b2Vec2::b2Vec2(float, float) [2]
-----------------------------------------------
                                                 <spontaneous>
[13]     2.3    0.20    0.03                 b2Mul(b2Rot const&, b2Vec2 const&) [13]
                0.03    0.00 24954927/585755660     b2Vec2::b2Vec2(float, float) [2]
-----------------------------------------------
                                                 <spontaneous>
[14]     2.2    0.16    0.06                 b2ContactSolver::InitializeVelocityConstraints() [14]
                0.03    0.01 8368102/122179778     operator-(b2Vec2 const&, b2Vec2 const&) [4]
                0.00    0.01 1389005/1389005     b2WorldManifold::b2WorldManifold() [142]
                0.01    0.00 1389005/4165123     b2Contact::GetManifold() [90]
                0.00    0.00 1397523/89684141     operator+(b2Vec2 const&, b2Vec2 const&) [9]
                0.00    0.00   16222/12586794     b2Vec2::Set(float, float) [116]
-----------------------------------------------
                                                 <spontaneous>
[15]     2.2    0.18    0.04                 b2World::SolveTOI(b2TimeStep const&) [15]
                0.02    0.00 10176246/27007520     b2Fixture::GetBody() [50]
                0.01    0.00 5088123/10174024     b2Contact::GetFixtureB() [88]
                0.01    0.00 5088123/10174024     b2Contact::GetFixtureA() [117]
                0.00    0.00  929624/11772506     b2Fixture::GetShape() [80]
                0.00    0.00    1955/42687445     float b2Min<float>(float, float) [22]
-----------------------------------------------
                                                 <spontaneous>
[16]     2.1    0.21    0.00                 b2Dot(b2Vec2 const&, b2Vec2 const&) [16]
-----------------------------------------------
                                                 <spontaneous>
[17]     2.0    0.20    0.00                 b2World::Solve(b2TimeStep const&) [17]
-----------------------------------------------
                                                 <spontaneous>
[18]     1.8    0.12    0.06                 b2FindMaxSeparation(int*, b2PolygonShape const*, b2Transform const&, b2PolygonShape const*, b2Transform const&) [18]
                0.05    0.02 12478984/122179778     operator-(b2Vec2 const&, b2Vec2 const&) [4]
-----------------------------------------------
                0.00    0.00       1/103063745     __static_initialization_and_destruction_0(int, int) [114]
                0.00    0.00       1/103063745     cs296::base_sim_t::base_sim_t() [180]
                0.00    0.00       1/103063745     b2World::b2World(b2Vec2 const&) [209]
                0.00    0.00       1/103063745     ComputeCentroid(b2Vec2 const*, int) [191]
                0.00    0.00       2/103063745     b2DistanceJointDef::b2DistanceJointDef() [208]
                0.00    0.00       4/103063745     b2PulleyJointDef::b2PulleyJointDef() [205]
                0.00    0.00       5/103063745     cs296::dominos_t::dominos_t() [179]
                0.00    0.00       6/103063745     b2RevoluteJointDef::b2RevoluteJointDef() [200]
                0.00    0.00       7/103063745     b2DistanceJoint::b2DistanceJoint(b2DistanceJointDef const*) [202]
                0.00    0.00       8/103063745     b2EdgeShape::b2EdgeShape() [201]
                0.00    0.00       8/103063745     b2PolygonShape::Set(b2Vec2 const*, int) [193]
                0.00    0.00      10/103063745     b2PulleyJoint::b2PulleyJoint(b2PulleyJointDef const*) [199]
                0.00    0.00      17/103063745     b2CircleShape::b2CircleShape() [195]
                0.00    0.00      18/103063745     b2RevoluteJoint::b2RevoluteJoint(b2RevoluteJointDef const*) [198]
                0.00    0.00      29/103063745     b2PolygonShape::ComputeMass(b2MassData*, float) const [182]
                0.00    0.00      42/103063745     b2MassData::b2MassData() [194]
                0.00    0.00      78/103063745     b2BodyDef::b2BodyDef() [190]
                0.00    0.00      80/103063745     b2Body::b2Body(b2BodyDef const*, b2World*) [189]
                0.00    0.00     952/103063745     b2PolygonShape::b2PolygonShape() [183]
                0.00    0.00    4096/103063745     cs296::contact_point_t::contact_point_t() [181]
                0.00    0.00    9066/103063745     b2ManifoldPoint::b2ManifoldPoint() [177]
                0.00    0.00    9066/103063745     b2Manifold::b2Manifold() [176]
                0.00    0.00   64888/103063745     b2ContactSolver::SolveVelocityConstraints() [1]
                0.00    0.00  296883/103063745     b2Mat22::Solve(b2Vec2 const&) const [111]
                0.00    0.00  609988/103063745     b2Mat22::b2Mat22() [166]
                0.00    0.00  921995/103063745     b2ReferenceFace::b2ReferenceFace() [164]
                0.00    0.00  929342/103063745     b2SeparationFunction::b2SeparationFunction() [163]
                0.00    0.00  933348/103063745     b2DistanceOutput::b2DistanceOutput() [162]
                0.00    0.00 1248131/103063745     b2Distance(b2DistanceOutput*, b2SimplexCache*, b2DistanceInput const*) [48]
                0.00    0.00 2043030/103063745     b2EPCollider::b2EPCollider() [156]
                0.00    0.00 2360352/103063745     b2Mat33::Solve22(b2Vec2 const&) const [81]
                0.00    0.00 2802126/103063745     b2ClipVertex::b2ClipVertex() [153]
                0.00    0.00 2842080/103063745     b2PositionSolverManifold::b2PositionSolverManifold() [152]
                0.01    0.00 2971680/103063745     b2TempPolygon::b2TempPolygon() [146]
                0.01    0.00 3718496/103063745     b2DistanceProxy::b2DistanceProxy() [108]
                0.01    0.00 4167015/103063745     b2WorldManifold::b2WorldManifold() [142]
                0.01    0.00 4200066/103063745     b2SimplexVertex::b2SimplexVertex() [78]
                0.01    0.00 5577018/103063745     b2Sweep::b2Sweep() [95]
                0.01    0.00 8271204/103063745     b2Vec2::operator-() const [60]
                0.02    0.00 10399948/103063745     b2TestOverlap(b2AABB const&, b2AABB const&) [30]
                0.02    0.00 12733069/103063745     b2Transform::b2Transform() [86]
                0.02    0.00 13549588/103063745     b2AABB::b2AABB() [69]
                0.04    0.00 22400000/103063745     b2World::DrawShape(b2Fixture*, b2Transform const&, b2Color const&) [3]
[19]     1.8    0.18    0.00 103063745         b2Vec2::b2Vec2() [19]
-----------------------------------------------
                                                 <spontaneous>
[20]     1.7    0.05    0.12                 b2Min(b2Vec2 const&, b2Vec2 const&) [20]
                0.10    0.00 27579258/42687445     float b2Min<float>(float, float) [22]
                0.02    0.00 13789629/585755660     b2Vec2::b2Vec2(float, float) [2]
-----------------------------------------------
                0.00    0.00  800000/53055077     cs296::base_sim_t::step(cs296::settings_t*) [158]
                0.00    0.00  929624/53055077     b2TimeOfImpact(b2TOIOutput*, b2TOIInput const*) [84]
                0.04    0.00 11047152/53055077     b2ContactSolver::SolveVelocityConstraints() [1]
                0.04    0.00 12699043/53055077     float b2Clamp<float>(float, float, float) [25]
                0.09    0.00 27579258/53055077     b2Max(b2Vec2 const&, b2Vec2 const&) [24]
[21]     1.7    0.17    0.00 53055077         float b2Max<float>(float, float) [21]
-----------------------------------------------
                0.00    0.00    1955/42687445     b2World::SolveTOI(b2TimeStep const&) [15]
                0.00    0.00    5453/42687445     b2ContactSolver::SolveTOIPositionConstraints(int, int) [169]
                0.00    0.00  248465/42687445     b2Island::Solve(b2Profile*, b2TimeStep const&, b2Vec2 const&, bool) [11]
                0.00    0.00  737684/42687445     b2EPCollider::ComputePolygonSeparation() [58]
                0.01    0.00 1415587/42687445     b2ContactSolver::SolvePositionConstraints() [26]
                0.05    0.00 12699043/42687445     float b2Clamp<float>(float, float, float) [25]
                0.10    0.00 27579258/42687445     b2Min(b2Vec2 const&, b2Vec2 const&) [20]
[22]     1.6    0.16    0.00 42687445         float b2Min<float>(float, float) [22]
-----------------------------------------------
                                                 <spontaneous>
[23]     1.5    0.15    0.00                 b2Vec2::operator-=(b2Vec2 const&) [23]
-----------------------------------------------
                                                 <spontaneous>
[24]     1.5    0.04    0.11                 b2Max(b2Vec2 const&, b2Vec2 const&) [24]
                0.09    0.00 27579258/53055077     float b2Max<float>(float, float) [21]
                0.02    0.00 13789629/585755660     b2Vec2::b2Vec2(float, float) [2]
-----------------------------------------------
                                                 <spontaneous>
[25]     1.4    0.06    0.09                 float b2Clamp<float>(float, float, float) [25]
                0.05    0.00 12699043/42687445     float b2Min<float>(float, float) [22]
                0.04    0.00 12699043/53055077     float b2Max<float>(float, float) [21]
-----------------------------------------------
                                                 <spontaneous>
[26]     1.4    0.09    0.05                 b2ContactSolver::SolvePositionConstraints() [26]
                0.02    0.01 5662348/122179778     operator-(b2Vec2 const&, b2Vec2 const&) [4]
                0.01    0.01 4246761/157729624     operator*(float, b2Vec2 const&) [7]
                0.01    0.00 1415587/42687445     float b2Min<float>(float, float) [22]
-----------------------------------------------
                                                 <spontaneous>
[27]     1.3    0.11    0.02                 b2ContactSolver::b2ContactSolver(b2ContactSolverDef*) [27]
                0.01    0.00 1389005/4165123     b2Contact::GetManifold() [90]
                0.01    0.00 2778010/11772506     b2Fixture::GetShape() [80]
                0.01    0.00 2778010/27007520     b2Fixture::GetBody() [50]
                0.00    0.00 2795046/7121783     b2Vec2::SetZero() [115]
-----------------------------------------------
                                                 <spontaneous>
[28]     1.3    0.08    0.05                 b2RevoluteJoint::SolveVelocityConstraints(b2SolverData const&) [28]
                0.02    0.01 4720704/122179778     operator-(b2Vec2 const&, b2Vec2 const&) [4]
                0.01    0.01 4720704/157729624     operator*(float, b2Vec2 const&) [7]
                0.01    0.00 2360352/89684141     operator+(b2Vec2 const&, b2Vec2 const&) [9]
-----------------------------------------------
                                                 <spontaneous>
[29]     1.3    0.08    0.05                 b2WorldManifold::Initialize(b2Manifold const*, b2Transform const&, float, b2Transform const&, float) [29]
                0.02    0.01 4192569/122179778     operator-(b2Vec2 const&, b2Vec2 const&) [4]
                0.01    0.01 4192569/157729624     operator*(float, b2Vec2 const&) [7]
                0.01    0.00 2795046/89684141     operator+(b2Vec2 const&, b2Vec2 const&) [9]
                0.00    0.00  317447/12586794     b2Vec2::Set(float, float) [116]
-----------------------------------------------
                                                 <spontaneous>
[30]     1.2    0.05    0.07                 b2TestOverlap(b2AABB const&, b2AABB const&) [30]
                0.04    0.01 10399948/122179778     operator-(b2Vec2 const&, b2Vec2 const&) [4]
                0.02    0.00 10399948/103063745     b2Vec2::b2Vec2() [19]
-----------------------------------------------
                                                 <spontaneous>
[31]     1.0    0.07    0.04                 b2ContactManager::Collide() [31]
                0.02    0.00 9988010/27007520     b2Fixture::GetBody() [50]
                0.01    0.00 4994005/10174024     b2Contact::GetFixtureB() [88]
                0.00    0.00 4994005/10174024     b2Contact::GetFixtureA() [117]
-----------------------------------------------
                                                 <spontaneous>
[32]     1.0    0.08    0.02                 b2World::DrawDebugData() [32]
                0.02    0.00 4200000/4700000     b2Color::b2Color(float, float, float) [89]
                0.00    0.00 4000000/8864872     b2Body::GetTransform() const [118]
-----------------------------------------------
                                                 <spontaneous>
[33]     1.0    0.07    0.03                 b2PolygonShape::ComputeAABB(b2AABB*, b2Transform const&, int) const [33]
                0.01    0.00 2318884/122179778     operator-(b2Vec2 const&, b2Vec2 const&) [4]
                0.01    0.00 2318884/89684141     operator+(b2Vec2 const&, b2Vec2 const&) [9]
                0.00    0.00 2318884/585755660     b2Vec2::b2Vec2(float, float) [2]
-----------------------------------------------
                                                 <spontaneous>
[34]     0.9    0.06    0.03                 b2Fixture::Synchronize(b2BroadPhase*, b2Transform const&, b2Transform const&) [34]
                0.01    0.01 4124584/6774794     b2AABB::b2AABB() [69]
                0.01    0.00 2062292/122179778     operator-(b2Vec2 const&, b2Vec2 const&) [4]
-----------------------------------------------
                                                 <spontaneous>
[35]     0.8    0.06    0.02                 b2Contact::Update(b2ContactListener*) [35]
                0.01    0.00 1388942/1388942     b2ContactListener::PreSolve(b2Contact*, b2Manifold const*) [119]
                0.01    0.00 3864872/27007520     b2Fixture::GetBody() [50]
                0.00    0.00 3864872/8864872     b2Body::GetTransform() const [118]
                0.00    0.00    4315/4315        b2ContactListener::BeginContact(b2Contact*) [225]
                0.00    0.00    4276/4276        b2ContactListener::EndContact(b2Contact*) [226]
-----------------------------------------------
                                                 <spontaneous>
[36]     0.8    0.08    0.00                 b2AABB::GetPerimeter() const [36]
-----------------------------------------------
                                                 <spontaneous>
[37]     0.8    0.06    0.02                 b2PulleyJoint::SolveVelocityConstraints(b2SolverData const&) [37]
                0.01    0.00 3200000/157729624     operator*(float, b2Vec2 const&) [7]
                0.00    0.00 1600000/89684141     operator+(b2Vec2 const&, b2Vec2 const&) [9]
-----------------------------------------------
                                                 <spontaneous>
[38]     0.7    0.07    0.00                 b2StackAllocator::Free(void*) [38]
-----------------------------------------------
                                                 <spontaneous>
[39]     0.7    0.05    0.02                 b2CollidePolygonAndCircle(b2Manifold*, b2PolygonShape const*, b2Transform const&, b2CircleShape const*, b2Transform const&) [39]
                0.01    0.01 3894140/122179778     operator-(b2Vec2 const&, b2Vec2 const&) [4]
                0.00    0.00  356102/89684141     operator+(b2Vec2 const&, b2Vec2 const&) [9]
                0.00    0.00  356102/157729624     operator*(float, b2Vec2 const&) [7]
-----------------------------------------------
                                                 <spontaneous>
[40]     0.7    0.04    0.03                 b2Sweep::GetTransform(b2Transform*, float) const [40]
                0.01    0.01 5612252/157729624     operator*(float, b2Vec2 const&) [7]
                0.01    0.00 2806126/89684141     operator+(b2Vec2 const&, b2Vec2 const&) [9]
-----------------------------------------------
                                                 <spontaneous>
[41]     0.7    0.07    0.00                 b2Vec2::operator+=(b2Vec2 const&) [41]
-----------------------------------------------
                                                 <spontaneous>
[42]     0.7    0.05    0.02                 b2DistanceJoint::SolveVelocityConstraints(b2SolverData const&) [42]
                0.00    0.00 2399016/157729624     operator*(float, b2Vec2 const&) [7]
                0.00    0.00 1599344/89684141     operator+(b2Vec2 const&, b2Vec2 const&) [9]
                0.00    0.00  799672/122179778     operator-(b2Vec2 const&, b2Vec2 const&) [4]
-----------------------------------------------
                                                 <spontaneous>
[43]     0.7    0.04    0.02                 b2Cross(b2Vec2 const&, float) [43]
                0.02    0.00 14928859/585755660     b2Vec2::b2Vec2(float, float) [2]
-----------------------------------------------
                0.00    0.00       1/2388409     ComputeCentroid(b2Vec2 const*, int) [191]
                0.00    0.00      36/2388409     b2Body::ResetMassData() [184]
                0.00    0.00      58/2388409     b2PolygonShape::ComputeMass(b2MassData*, float) const [182]
                0.00    0.00   99959/2388409     b2DistanceJoint::InitVelocityConstraints(b2SolverData const&) [144]
                0.01    0.00  195449/2388409     b2PulleyJoint::InitVelocityConstraints(b2SolverData const&) [141]
                0.01    0.00  199185/2388409     b2PulleyJoint::SolvePositionConstraints(b2SolverData const&) [64]
                0.05    0.00 1893721/2388409     b2Island::Solve(b2Profile*, b2TimeStep const&, b2Vec2 const&, bool) [11]
[44]     0.6    0.07    0.00 2388409         b2Vec2::operator*=(float) [44]
-----------------------------------------------
                                                 <spontaneous>
[45]     0.6    0.07    0.00                 b2StackAllocator::Allocate(int) [45]
-----------------------------------------------
                                                 <spontaneous>
[46]     0.6    0.06    0.00                 b2DistanceProxy::GetSupport(b2Vec2 const&) const [46]
-----------------------------------------------
                                                 <spontaneous>
[47]     0.6    0.06    0.00                 b2Timer::GetMilliseconds() const [47]
-----------------------------------------------
                                                 <spontaneous>
[48]     0.6    0.05    0.01                 b2Distance(b2DistanceOutput*, b2SimplexCache*, b2DistanceInput const*) [48]
                0.00    0.00 1248131/122179778     operator-(b2Vec2 const&, b2Vec2 const&) [4]
                0.00    0.00 1248131/103063745     b2Vec2::b2Vec2() [19]
-----------------------------------------------
                                                 <spontaneous>
[49]     0.6    0.05    0.01                 b2ContactSolver::StoreImpulses() [49]
                0.01    0.00 1387113/4165123     b2Contact::GetManifold() [90]
-----------------------------------------------
                0.00    0.00    8966/27007520     b2ContactManager::Destroy(b2Contact*) [172]
                0.00    0.00  191416/27007520     b2ContactManager::AddPair(void*, void*) [168]
                0.01    0.00 2778010/27007520     b2ContactSolver::b2ContactSolver(b2ContactSolverDef*) [27]
                0.01    0.00 3864872/27007520     b2Contact::Update(b2ContactListener*) [35]
                0.02    0.00 9988010/27007520     b2ContactManager::Collide() [31]
                0.02    0.00 10176246/27007520     b2World::SolveTOI(b2TimeStep const&) [15]
[50]     0.5    0.06    0.00 27007520         b2Fixture::GetBody() [50]
-----------------------------------------------
                                                 <spontaneous>
[51]     0.5    0.04    0.01                 b2DynamicTree::InsertLeaf(int) [51]
                0.00    0.01 2650209/6774794     b2AABB::b2AABB() [69]
-----------------------------------------------
                                                 <spontaneous>
[52]     0.5    0.04    0.01                 b2PositionSolverManifold::Initialize(b2ContactPositionConstraint*, b2Transform const&, b2Transform const&, int) [52]
                0.01    0.00 1745419/122179778     operator-(b2Vec2 const&, b2Vec2 const&) [4]
                0.00    0.00  324379/89684141     operator+(b2Vec2 const&, b2Vec2 const&) [9]
                0.00    0.00  324379/157729624     operator*(float, b2Vec2 const&) [7]
-----------------------------------------------
                                                 <spontaneous>
[53]     0.5    0.05    0.00                 b2Rot::Set(float) [53]
-----------------------------------------------
                                                 <spontaneous>
[54]     0.5    0.05    0.00                 b2AABB::Combine(b2AABB const&, b2AABB const&) [54]
-----------------------------------------------
                                                 <spontaneous>
[55]     0.5    0.05    0.00                 b2Body::IsAwake() const [55]
-----------------------------------------------
                                                 <spontaneous>
[56]     0.5    0.04    0.01                 b2SeparationFunction::Initialize(b2SimplexCache const*, b2DistanceProxy const*, b2Sweep const&, b2DistanceProxy const*, b2Sweep const&, float) [56]
                0.00    0.00  928765/122179778     operator-(b2Vec2 const&, b2Vec2 const&) [4]
                0.00    0.00  464094/89684141     operator+(b2Vec2 const&, b2Vec2 const&) [9]
                0.00    0.00  464094/157729624     operator*(float, b2Vec2 const&) [7]
-----------------------------------------------
                                                 <spontaneous>
[57]     0.4    0.02    0.02                 b2ContactSolver::WarmStart() [57]
                0.01    0.01 5579268/157729624     operator*(float, b2Vec2 const&) [7]
                0.00    0.00 1394817/89684141     operator+(b2Vec2 const&, b2Vec2 const&) [9]
-----------------------------------------------
                                                 <spontaneous>
[58]     0.4    0.03    0.01                 b2EPCollider::ComputePolygonSeparation() [58]
                0.01    0.00 2213008/122179778     operator-(b2Vec2 const&, b2Vec2 const&) [4]
                0.00    0.00  737684/42687445     float b2Min<float>(float, float) [22]
                0.00    0.00  184443/585755660     b2Vec2::b2Vec2(float, float) [2]
-----------------------------------------------
                                                 <spontaneous>
[59]     0.4    0.04    0.00                 b2DynamicTree::MoveProxy(int, b2AABB const&, b2Vec2 const&) [59]
                0.00    0.00  173774/122179778     operator-(b2Vec2 const&, b2Vec2 const&) [4]
                0.00    0.00  173774/89684141     operator+(b2Vec2 const&, b2Vec2 const&) [9]
                0.00    0.00  173774/157729624     operator*(float, b2Vec2 const&) [7]
                0.00    0.00  173774/585755660     b2Vec2::b2Vec2(float, float) [2]
-----------------------------------------------
                                                 <spontaneous>
[60]     0.4    0.02    0.02                 b2Vec2::operator-() const [60]
                0.01    0.00 8271204/103063745     b2Vec2::b2Vec2() [19]
                0.01    0.00 8271204/12586794     b2Vec2::Set(float, float) [116]
-----------------------------------------------
                                                 <spontaneous>
[61]     0.4    0.04    0.00                 b2DynamicTree::Balance(int) [61]
-----------------------------------------------
                                                 <spontaneous>
[62]     0.4    0.04    0.00                 b2TreeNode::IsLeaf() const [62]
-----------------------------------------------
                                                 <spontaneous>
[63]     0.4    0.04    0.00                 void b2DynamicTree::Query<b2BroadPhase>(b2BroadPhase*, b2AABB const&) const [63]
-----------------------------------------------
                                                 <spontaneous>
[64]     0.4    0.03    0.01                 b2PulleyJoint::SolvePositionConstraints(b2SolverData const&) [64]
                0.01    0.00  199185/2388409     b2Vec2::operator*=(float) [44]
                0.00    0.00  406572/122179778     operator-(b2Vec2 const&, b2Vec2 const&) [4]
                0.00    0.00  406572/157729624     operator*(float, b2Vec2 const&) [7]
                0.00    0.00  203286/89684141     operator+(b2Vec2 const&, b2Vec2 const&) [9]
                0.00    0.00    4101/7121783     b2Vec2::SetZero() [115]
-----------------------------------------------
                                                 <spontaneous>
[65]     0.4    0.03    0.01                 b2RevoluteJoint::SolvePositionConstraints(b2SolverData const&) [65]
                0.00    0.00 1187532/122179778     operator-(b2Vec2 const&, b2Vec2 const&) [4]
                0.00    0.00  593766/157729624     operator*(float, b2Vec2 const&) [7]
                0.00    0.00  296883/89684141     operator+(b2Vec2 const&, b2Vec2 const&) [9]
-----------------------------------------------
                                                 <spontaneous>
[66]     0.4    0.03    0.01                 b2RevoluteJoint::InitVelocityConstraints(b2SolverData const&) [66]
                0.00    0.00  590088/122179778     operator-(b2Vec2 const&, b2Vec2 const&) [4]
                0.00    0.00  590088/157729624     operator*(float, b2Vec2 const&) [7]
                0.00    0.00  295044/585755660     b2Vec2::b2Vec2(float, float) [2]
-----------------------------------------------
                                                 <spontaneous>
[67]     0.3    0.04    0.00                 b2Body::IsBullet() const [67]
-----------------------------------------------
                                                 <spontaneous>
[68]     0.3    0.03    0.00                 b2Simplex::Solve3() [68]
                0.00    0.00  949536/122179778     operator-(b2Vec2 const&, b2Vec2 const&) [4]
-----------------------------------------------
                0.00    0.00       1/6774794     cs296::base_sim_t::base_sim_t() [180]
                0.00    0.01 2650209/6774794     b2DynamicTree::InsertLeaf(int) [51]
                0.01    0.01 4124584/6774794     b2Fixture::Synchronize(b2BroadPhase*, b2Transform const&, b2Transform const&) [34]
[69]     0.3    0.01    0.02 6774794         b2AABB::b2AABB() [69]
                0.02    0.00 13549588/103063745     b2Vec2::b2Vec2() [19]
-----------------------------------------------
                                                 <spontaneous>
[70]     0.3    0.03    0.00                 b2MulT(b2Transform const&, b2Vec2 const&) [70]
                0.00    0.00 1322503/585755660     b2Vec2::b2Vec2(float, float) [2]
-----------------------------------------------
                0.03    0.00 2800000/2800000     b2World::DrawShape(b2Fixture*, b2Transform const&, b2Color const&) [3]
[71]     0.3    0.03    0.00 2800000         debug_draw_t::DrawSolidPolygon(b2Vec2 const*, int, b2Color const&) [71]
-----------------------------------------------
                                                 <spontaneous>
